Qualitative Lit Review Summary ,,,,,,,,,,
Study Authors ,Journal/Year ,Objective/ Types,Methods/Design,Data Sources ,,Key Findings,Limitations,Other Notes/Insights ,,Types Explanation
Wise et al. ,"Milbank Quarterly, 2011",PCPs from physician organizations in Michigan,Comparative case study ,66 semi structured interviews from 8 practice teams with higher PCMH scores and 8 teams with lower PCMH scores and leaders of physician org,16 practices from 12 different physicians organizations ,"Respondents from higher and lower PCMH scoring practices commented on similar aspects of readiness-motivation and capability but offered different views; understanding practice perception is important in motivating PCMH change; strong hospital association did not differentiate practices on any relevant theme; organizational support was important no matter who provided it (physician, hospital etc); Identified motivations include perceived value of PCMH, understanding of PCMH requirements, financial incentives, commitment to change. ",Limited time to volunteer practices; limited to Michigan; didn’t look at true stand alone independent practices - results can be generalized to unaffiliated private practices ,,,
Fernald et al. ,"Family Medicine, 2011",family medicine residency training programs (Colorado Family Medicine Residency PCMH),Comparative case study ,"Qualitative analysis of field notes, interviews and documents ",9 family medicine residency programs in Colorado ,"Identified 9 common barriers: negative experiences with quality improvement or routines incompatible with transformation, leadership gaps, skepticism and cynicism aimed at change or ability to change, unproductive team processes, lack of accountability, knowledge gaps about PCMH, other programs distracted focus from implementation, sponsoring organization's constraints - staffing rules and differing priorities, insufficient staff participation, communication problems due to part time faculty and residents; Barriers can be addressed by attention and reflection from on site coaches by realigning talents, leaders and priorities. ","reports on small set of structured observations within residential family practices, genralizability limited without comparing non residency practices, study can be used as a guide not prescription. ",,,
,,,,,,,,,,
Study Authors ,Journal/Year ,Research Setting ,Methods/Design,Data Sources ,Sample Size,Key Findings,Limitations,Other Notes/Insights ,,
Hoff et al. ,"MCR, 2012",PCPs across the state ,Systematic review ,PubMed ,21 articles,provision of medical home care related to improved quality; decreased utilization in high cost areas; enhanced patient and family experiences weakly linked; variation in design and implementation of PCMH,No limitations mentioned,Notable method for systematic review ,,
Jackson et al. ,"AFM, 2013",Studies on PCMH Models across the state,Systematic review ,"PubMed, Nursing and Allied Health Literature, Cochrane Database of Systematic Reviews ",60 articles with 31 unique studies  ,Small effect on patient experience; small to moderate effect on delivery of preventive care; reduction in ED visit but not hospital admission of older adults; no evidence of overall cost saving ,no standard nomenclature for PCMH; more inclusive of studies that embody IOM concept of patient centered; Bias results from selective outcomes reporting,"Notable method for systematic review, operational definition for PCMH ",,
Rosenthal et al. ,"JABFM, 2008",Medical Homes and patient centered primary care ,Systematic review ,"Standard literature databases (PubMed), Professional associations, Government agencies etc. ",over 200 references ,"improved outcomes, satisfaction, quality; reduced errors, PCMH can advance societal health; Combo of case mgmt, fee for services, quality outcome incentive drive high standards. ",Quality of studies subjectively determined; may reflect incomparable settings; limited generalization possible ,,,
Neilsen et al. ,Milbank Memorial Fund ,PCMH initiatives across the state,Systematic review ,"PubMed, peer-reviewed studies, state government program evaluations and industry reports",28 reports and articles ,positive trends in cost and utilization outcomes overall; decreases in ED utilization and hospital services present even without total monthly cost reduction; government programs showed reduction in cost and some utilization; private payers (industry) shows more reduction ,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Key ,,,,,,,,,,
Journal of General Internal Medicine,JGIM,,,,,,,,,
Annals of Family Medicine ,AFM,,,,,,,,,
Health Service Research Journal,HSR,,,,,,,,,
Medical Care Research and Review ,MCR,,,,,,,,,
Ethnicity and Disease (ISHIB),E&D,,,,,,,,,
Journal of the American Board of Family Med,JABFM,,,,,,,,,
